DAPPU|EnsemblGenome=DappuG213873|UniProtKB=C7DR07	Putative uncharacterized protein;DAPPUDRAFT_213873;ortholog	PROTEIN Y7A5A.1 (PTHR10801:SF2)	oxidoreductase activity	cholesterol metabolic process		reductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_207455|UniProtKB=E9FYV4	Putative uncharacterized protein;DAPPUDRAFT_207455;ortholog	PROTEIN DHS-20 (PTHR24316:SF215)	oxidoreductase activity	cellular amino acid biosynthetic process;steroid metabolic process		dehydrogenase;reductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_230516|UniProtKB=E9G2I4	Putative uncharacterized protein;DAPPUDRAFT_230516;ortholog	PROTEIN ATH-1 (PTHR10655:SF17)	phospholipase activity	lipid metabolic process;protein lipidation;cellular process		phospholipase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_307155|UniProtKB=E9FZS1	Putative uncharacterized protein;DAPPUDRAFT_307155;ortholog	CARBONYL REDUCTASE 1-RELATED (PTHR24322:SF58)	oxidoreductase activity	steroid metabolic process		dehydrogenase;reductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_200149|UniProtKB=E9H1Z1	Putative uncharacterized protein;DAPPUDRAFT_200149;ortholog	VERY-LONG-CHAIN 3-OXOOACYL-COA REDUCTASE LET-767-RELATED (PTHR24316:SF68)	oxidoreductase activity	cellular amino acid biosynthetic process;steroid metabolic process		dehydrogenase;reductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_302191|UniProtKB=E9HM84	Putative uncharacterized protein;DAPPUDRAFT_302191;ortholog	MITOCHONDRIAL 2-OXOGLUTARATE/MALATE CARRIER PROTEIN (PTHR24089:SF86)	amino acid transmembrane transporter activity;transmembrane transporter activity;calcium ion binding;calmodulin binding	phosphate-containing compound metabolic process;nucleobase-containing compound metabolic process;lipid metabolic process;cation transport;phosphate ion transport;lipid transport;nucleobase-containing compound transport	mitochondrial inner membrane;mitochondrion;cytoplasm	amino acid transporter;mitochondrial carrier protein;transfer/carrier protein;calmodulin					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_300448|UniProtKB=E9G4Z8	Putative uncharacterized protein;DAPPUDRAFT_300448;ortholog	TRICARBOXYLATE TRANSPORT PROTEIN, MITOCHONDRIAL (PTHR24089:SF102)	amino acid transmembrane transporter activity;transmembrane transporter activity;calcium ion binding;calmodulin binding	phosphate-containing compound metabolic process;nucleobase-containing compound metabolic process;lipid metabolic process;cation transport;phosphate ion transport;lipid transport;nucleobase-containing compound transport	mitochondrial inner membrane;mitochondrion;cytoplasm	amino acid transporter;mitochondrial carrier protein;transfer/carrier protein;calmodulin					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_110684|UniProtKB=E9H707	Putative uncharacterized protein;DAPPUDRAFT_110684;ortholog	LONG-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL (PTHR10909:SF196)	oxidoreductase activity;transferase activity	respiratory electron transport chain;acyl-CoA metabolic process;nitrogen compound metabolic process;fatty acid beta-oxidation;acyl-CoA metabolic process		transferase;dehydrogenase;oxidase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_190546|UniProtKB=E9FSV8	Putative uncharacterized protein;DAPPUDRAFT_190546;ortholog	GDP-L-FUCOSE SYNTHASE (PTHR10366:SF259)	oxidoreductase activity;hydro-lyase activity;racemase and epimerase activity	glycogen metabolic process;cholesterol metabolic process		oxidoreductase;dehydratase;epimerase/racemase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_306743|UniProtKB=E9GYD9	Putative uncharacterized protein;DAPPUDRAFT_306743;ortholog	ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT ALPHA, MITOCHONDRIAL (PTHR10909:SF91)	oxidoreductase activity;transferase activity	respiratory electron transport chain;acyl-CoA metabolic process;nitrogen compound metabolic process;fatty acid beta-oxidation;acyl-CoA metabolic process		transferase;dehydrogenase;oxidase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_299789|UniProtKB=E9FRN7	Putative uncharacterized protein;DAPPUDRAFT_299789;ortholog	3-HYDROXYACYL-COA DEHYDROGENASE TYPE-2 (PTHR24316:SF251)	oxidoreductase activity	cellular amino acid biosynthetic process;steroid metabolic process		dehydrogenase;reductase					Daphnia pulex
