DAPPU|Gene=DAPPUDRAFT_347595|UniProtKB=E9GAM4	Enolase;ENO;ortholog	ENOLASE (PTHR11902:SF7)	lyase activity	glycolysis;glycolysis		lyase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_299795|UniProtKB=E9FRQ6	Phosphoglycerate kinase;DAPPUDRAFT_299795;ortholog	PHOSPHOGLYCERATE KINASE (PTHR11406:SF6)	carbohydrate kinase activity	glycolysis;glycolysis		carbohydrate kinase;carbohydrate kinase	Glycolysis->Phosphoglycerate kinase;;				Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_305476|UniProtKB=E9FWX1	Putative uncharacterized protein;DAPPUDRAFT_305476;ortholog	ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT BETA (PTHR21294:SF0)	oxidoreductase activity	respiratory electron transport chain		hydroxylase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_327058|UniProtKB=E9H9P6	Putative uncharacterized protein;DAPPUDRAFT_327058;ortholog	PROTEIN ANON-37CS (PTHR10742:SF250)	oxidoreductase activity;DNA-methyltransferase activity;nucleic acid binding	induction of apoptosis;respiratory electron transport chain;porphyrin-containing compound metabolic process;nucleobase-containing compound metabolic process;cellular amino acid metabolic process;cellular process;induction of apoptosis;chromatin organization		DNA methyltransferase;oxidase;DNA binding protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_302344|UniProtKB=E9GCK2	Glucose-6-phosphate isomerase;DAPPUDRAFT_302344;ortholog	GLUCOSE-6-PHOSPHATE ISOMERASE (PTHR11469:SF4)	isomerase activity	glycolysis;gluconeogenesis;glycolysis		isomerase	Pentose phosphate pathway->Glucose-P-Isomerase;;Glycolysis->Phosphoglucose isomerase;;;				Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_301215|UniProtKB=E9HGX0	Malate dehydrogenase;MDHM;ortholog	MALATE DEHYDROGENASE, MITOCHONDRIAL (PTHR11540:SF16)	oxidoreductase activity	generation of precursor metabolites and energy;carbohydrate metabolic process;tricarboxylic acid cycle		dehydrogenase	Pyruvate metabolism->Lactate Dehydrogenase;;				Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_110684|UniProtKB=E9H707	Putative uncharacterized protein;DAPPUDRAFT_110684;ortholog	LONG-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL (PTHR10909:SF196)	oxidoreductase activity;transferase activity	respiratory electron transport chain;acyl-CoA metabolic process;nitrogen compound metabolic process;fatty acid beta-oxidation;acyl-CoA metabolic process		transferase;dehydrogenase;oxidase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_306451|UniProtKB=E9FZ14	Putative uncharacterized protein;DAPPUDRAFT_306451;ortholog	ATPASE, H+ TRANSPORTING, LYSOSOMAL V1 SUBUNIT B2-RELATED (PTHR15184:SF11)	hydrolase activity;receptor activity;anion channel activity;ligand-gated ion channel activity;cation transmembrane transporter activity;proton-transporting ATP synthase activity, rotational mechanism;single-stranded DNA binding	respiratory electron transport chain;purine nucleobase metabolic process;cation transport;nucleobase-containing compound transport	proton-transporting ATP synthase complex;intracellular	ATP synthase;anion channel;ligand-gated ion channel;ligand-gated ion channel;DNA binding protein;hydrolase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_299958|UniProtKB=E9FRE7	Citrate synthase;DAPPUDRAFT_299958;ortholog	CITRATE SYNTHASE, MITOCHONDRIAL (PTHR11739:SF8)	transferase activity;lyase activity	generation of precursor metabolites and energy;carbohydrate metabolic process;tricarboxylic acid cycle;cellular amino acid biosynthetic process;cellular amino acid catabolic process		transferase;lyase	Pyruvate metabolism->Citrate Synthetase;;TCA cycle->Citrate Synthase;;;				Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_57515|UniProtKB=E9H230	Putative uncharacterized protein;DAPPUDRAFT_57515;ortholog	NADH DEHYDROGENASE [UBIQUINONE] 1 BETA SUBCOMPLEX SUBUNIT 5, MITOCHONDRIAL (PTHR13178:SF0)	oxidoreductase activity	oxidative phosphorylation;respiratory electron transport chain		oxidoreductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_306743|UniProtKB=E9GYD9	Putative uncharacterized protein;DAPPUDRAFT_306743;ortholog	ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT ALPHA, MITOCHONDRIAL (PTHR10909:SF91)	oxidoreductase activity;transferase activity	respiratory electron transport chain;acyl-CoA metabolic process;nitrogen compound metabolic process;fatty acid beta-oxidation;acyl-CoA metabolic process		transferase;dehydrogenase;oxidase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_55751|UniProtKB=E9GXW8	Putative uncharacterized protein;DAPPUDRAFT_55751;ortholog	CYTOCHROME C OXIDASE SUBUNIT 5A, MITOCHONDRIAL (PTHR14200:SF11)	oxidoreductase activity	oxidative phosphorylation;respiratory electron transport chain		oxidase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_304712|UniProtKB=E9FW02	Cytochrome b-c1 complex subunit Rieske, mitochondrial;DAPPUDRAFT_304712;ortholog	CYTOCHROME B-C1 COMPLEX SUBUNIT RIESKE, MITOCHONDRIAL (PTHR10134:SF4)	oxidoreductase activity	oxidative phosphorylation;respiratory electron transport chain	mitochondrion;cytoplasm	reductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_62934|UniProtKB=E9HI00	Putative uncharacterized protein (Fragment);DAPPUDRAFT_62934;ortholog	MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL (PTHR10909:SF240)	oxidoreductase activity;transferase activity	respiratory electron transport chain;acyl-CoA metabolic process;nitrogen compound metabolic process;fatty acid beta-oxidation;acyl-CoA metabolic process		transferase;dehydrogenase;oxidase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_308915|UniProtKB=E9HA96	Malate dehydrogenase;MDHC;ortholog	MALATE DEHYDROGENASE, CYTOPLASMIC (PTHR23382:SF3)	oxidoreductase activity	generation of precursor metabolites and energy;carbohydrate metabolic process;tricarboxylic acid cycle		dehydrogenase	TCA cycle->Malate Dehydrogenase;;				Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_300729|UniProtKB=E9G5T1	Putative uncharacterized protein;DAPPUDRAFT_300729;ortholog	NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 9, MITOCHONDRIAL (PTHR12126:SF1)	oxidoreductase activity	oxidative phosphorylation;respiratory electron transport chain		dehydrogenase;reductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_231213|UniProtKB=E9GX17	Putative uncharacterized protein;DAPPUDRAFT_231213;ortholog	NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 6 (PTHR12964:SF0)	oxidoreductase activity	oxidative phosphorylation;respiratory electron transport chain		dehydrogenase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_53209|UniProtKB=E9GPB6	Putative uncharacterized protein;DAPPUDRAFT_53209;ortholog	NADH DEHYDROGENASE [UBIQUINONE] FLAVOPROTEIN 1, MITOCHONDRIAL (PTHR11780:SF0)	oxidoreductase activity	oxidative phosphorylation;respiratory electron transport chain		dehydrogenase;reductase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_307186|UniProtKB=E9H0Z6	Putative uncharacterized protein;DAPPUDRAFT_307186;ortholog	NADH DEHYDROGENASE [UBIQUINONE] IRON-SULFUR PROTEIN 2, MITOCHONDRIAL (PTHR11993:SF10)	oxidoreductase activity	oxidative phosphorylation;respiratory electron transport chain		dehydrogenase;reductase					Daphnia pulex
