DAPPU|Gene=DAPPUDRAFT_111031|UniProtKB=E9H7X5	Putative uncharacterized protein;DAPPUDRAFT_111031;ortholog	TRANSLATIONAL ACTIVATOR GCN1 (PTHR23346:SF7)	kinase activity;protein binding;kinase regulator activity	translation;cellular protein modification process;regulation of catalytic activity		kinase modulator					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_307788|UniProtKB=E9G121	Putative uncharacterized protein;DAPPUDRAFT_307788;ortholog	40S RIBOSOMAL PROTEIN S16 (PTHR21569:SF4)	structural constituent of ribosome;RNA binding	translation	ribonucleoprotein complex	ribonucleoprotein;ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_217307|UniProtKB=E9HCT5	Putative uncharacterized protein;DAPPUDRAFT_217307;ortholog	VALYL-TRNA SYNTHETASE, ISOFORM A (PTHR11946:SF5)	aminoacyl-tRNA ligase activity	translation		aminoacyl-tRNA synthetase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_226428|UniProtKB=E9GZ69	Putative uncharacterized protein;DAPPUDRAFT_226428;ortholog	DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT 1 (PTHR21049:SF0)	transferase activity, transferring glycosyl groups	translation;protein glycosylation		glycosyltransferase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_230521|UniProtKB=E9G3M6	Putative uncharacterized protein;DAPPUDRAFT_230521;ortholog	40S RIBOSOMAL PROTEIN S14 (PTHR11759:SF1)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_92887|UniProtKB=E9GR53	Putative uncharacterized protein;DAPPUDRAFT_92887;ortholog	40S RIBOSOMAL PROTEIN S2 (PTHR13718:SF4)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_347357|UniProtKB=E9H393	ABC protein, subfamily ABCF;DAPPUDRAFT_347357;ortholog	ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 1 (PTHR19211:SF14)	ATPase activity, coupled to transmembrane movement of substances;transmembrane transporter activity;translation elongation factor activity;translation elongation factor activity;translation elongation factor activity	translation;transport;regulation of translation		ATP-binding cassette (ABC) transporter;translation elongation factor;hydrolase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_303071|UniProtKB=E9FU59	Putative uncharacterized protein;DAPPUDRAFT_303071;ortholog	40S RIBOSOMAL PROTEIN S3A (PTHR11830:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_34614|UniProtKB=E9G6K9	Putative uncharacterized protein (Fragment);DAPPUDRAFT_34614;ortholog	60S RIBOSOMAL PROTEIN L13 (PTHR11722:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_331348|UniProtKB=E9HM79	Putative uncharacterized protein;DAPPUDRAFT_331348;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 4G, ISOFORM B-RELATED (PTHR23253:SF9)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_300874|UniProtKB=E9HF12	Putative uncharacterized protein;DAPPUDRAFT_300874;ortholog	LEUCINE--TRNA LIGASE, CYTOPLASMIC (PTHR11946:SF51)	aminoacyl-tRNA ligase activity	translation		aminoacyl-tRNA synthetase					Daphnia pulex
