DAPPU|Gene=DAPPUDRAFT_307788|UniProtKB=E9G121	Putative uncharacterized protein;DAPPUDRAFT_307788;ortholog	40S RIBOSOMAL PROTEIN S16 (PTHR21569:SF4)	structural constituent of ribosome;RNA binding	translation	ribonucleoprotein complex	ribonucleoprotein;ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_303621|UniProtKB=E9HRX9	Putative uncharacterized protein;DAPPUDRAFT_303621;ortholog	SUBFAMILY NOT NAMED (PTHR13711:SF174)	sequence-specific DNA binding transcription factor activity;sequence-specific DNA binding transcription factor activity;chromatin binding;receptor binding	transcription from RNA polymerase II promoter;cell communication;regulation of transcription from RNA polymerase II promoter;chromatin organization		HMG box transcription factor;signaling molecule;chromatin/chromatin-binding protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_230521|UniProtKB=E9G3M6	Putative uncharacterized protein;DAPPUDRAFT_230521;ortholog	40S RIBOSOMAL PROTEIN S14 (PTHR11759:SF1)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_92887|UniProtKB=E9GR53	Putative uncharacterized protein;DAPPUDRAFT_92887;ortholog	40S RIBOSOMAL PROTEIN S2 (PTHR13718:SF4)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_347357|UniProtKB=E9H393	ABC protein, subfamily ABCF;DAPPUDRAFT_347357;ortholog	ATP-BINDING CASSETTE SUB-FAMILY F MEMBER 1 (PTHR19211:SF14)	ATPase activity, coupled to transmembrane movement of substances;transmembrane transporter activity;translation elongation factor activity;translation elongation factor activity;translation elongation factor activity	translation;transport;regulation of translation		ATP-binding cassette (ABC) transporter;translation elongation factor;hydrolase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_327058|UniProtKB=E9H9P6	Putative uncharacterized protein;DAPPUDRAFT_327058;ortholog	PROTEIN ANON-37CS (PTHR10742:SF250)	oxidoreductase activity;DNA-methyltransferase activity;nucleic acid binding	induction of apoptosis;respiratory electron transport chain;porphyrin-containing compound metabolic process;nucleobase-containing compound metabolic process;cellular amino acid metabolic process;cellular process;induction of apoptosis;chromatin organization		DNA methyltransferase;oxidase;DNA binding protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_303071|UniProtKB=E9FU59	Putative uncharacterized protein;DAPPUDRAFT_303071;ortholog	40S RIBOSOMAL PROTEIN S3A (PTHR11830:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_34614|UniProtKB=E9G6K9	Putative uncharacterized protein (Fragment);DAPPUDRAFT_34614;ortholog	60S RIBOSOMAL PROTEIN L13 (PTHR11722:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_331348|UniProtKB=E9HM79	Putative uncharacterized protein;DAPPUDRAFT_331348;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 4G, ISOFORM B-RELATED (PTHR23253:SF9)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_299559|UniProtKB=E9H9X9	Nucleolar protein-like protein 5A;DAPPUDRAFT_299559;ortholog	NUCLEOLAR PROTEIN 56 (PTHR10894:SF0)	RNA binding	rRNA metabolic process	ribonucleoprotein complex	ribonucleoprotein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_305318|UniProtKB=E9GRL8	Putative uncharacterized protein;DAPPUDRAFT_305318;ortholog	PROTEIN CAND-1 (PTHR12696:SF0)	sequence-specific DNA binding transcription factor activity;sequence-specific DNA binding transcription factor activity	transcription from RNA polymerase II promoter		transcription factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_223934|UniProtKB=E9GER2	Putative uncharacterized protein;DAPPUDRAFT_223934;ortholog	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT L (PTHR13242:SF0)	translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	translation;protein folding;regulation of translation		translation initiation factor					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_302797|UniProtKB=E9GEV7	Putative uncharacterized protein;DAPPUDRAFT_302797;ortholog	RIBOSOMAL PROTEIN S15A (PTHR11758:SF4)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_230702|UniProtKB=E9GB46	Putative uncharacterized protein;DAPPUDRAFT_230702;ortholog	60S RIBOSOMAL PROTEIN L28 (PTHR10544:SF0)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_306451|UniProtKB=E9FZ14	Putative uncharacterized protein;DAPPUDRAFT_306451;ortholog	ATPASE, H+ TRANSPORTING, LYSOSOMAL V1 SUBUNIT B2-RELATED (PTHR15184:SF11)	hydrolase activity;receptor activity;anion channel activity;ligand-gated ion channel activity;cation transmembrane transporter activity;proton-transporting ATP synthase activity, rotational mechanism;single-stranded DNA binding	respiratory electron transport chain;purine nucleobase metabolic process;cation transport;nucleobase-containing compound transport	proton-transporting ATP synthase complex;intracellular	ATP synthase;anion channel;ligand-gated ion channel;ligand-gated ion channel;DNA binding protein;hydrolase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_231875|UniProtKB=E9HTS2	Putative uncharacterized protein;DAPPUDRAFT_231875;ortholog	60S RIBOSOMAL PROTEIN L9 (PTHR11655:SF16)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_244975|UniProtKB=E9GMB1	Putative uncharacterized protein;DAPPUDRAFT_244975;ortholog	ATP-DEPENDENT RNA HELICASE DDX6-RELATED (PTHR24031:SF76)	RNA helicase activity;translation initiation factor activity;translation initiation factor activity;translation initiation factor activity	nucleobase-containing compound metabolic process;translation;regulation of translation		RNA helicase;translation initiation factor;helicase					Daphnia pulex
DAPPU|Gene=DAPPUDRAFT_230714|UniProtKB=E9GBH6	Putative uncharacterized protein;DAPPUDRAFT_230714;ortholog	40S RIBOSOMAL PROTEIN S11 (PTHR10744:SF9)	structural constituent of ribosome;nucleic acid binding	translation		ribosomal protein					Daphnia pulex
